Pre,Displacement,Tension,Resistance,Stutus,,0--12,4--12,8--12,,,,
69.97,1.65,8,,45.98,1.65,8,,,,,,
69.98,1.65,7.7,,45.99,1.65,7.7,,,,,,
70,1.63,7.6,,46.01,1.63,7.6,,,,,,
70.01,1.62,7.7,,46.02,1.62,7.7,,,,,,
70.02,1.61,7.8,,46.03,1.61,7.8,,,,,,
70.03,1.6,7.5,,46.04,1.6,7.5,,,,,,
70.05,1.59,7.2,,46.06,1.59,7.2,,,,,,
70.06,1.57,7.3,,46.07,1.57,7.3,,,,,,
70.07,1.55,7.6,,46.08,1.55,7.6,,,,,,
70.08,1.54,7.3,,46.09,1.54,7.3,,,,,,
70.1,1.53,7.1,,46.11,1.53,7.1,,,,,,
70.11,1.52,7.2,,46.12,1.52,7.2,,,,,,
70.12,1.5,7.3,,46.13,1.5,7.3,,,,,,
70.13,1.5,7,,46.14,1.5,7,,,,,,
70.14,1.49,7.1,,46.15,1.49,7.1,,,,,,
70.16,1.47,7.2,,46.17,1.47,7.2,,,,,,
70.17,1.46,6.8,,46.18,1.46,6.8,,,,,,
70.18,1.45,6.7,,46.19,1.45,6.7,,,,,,
70.19,1.43,6.8,,46.2,1.43,6.8,,,,,,
70.21,1.42,6.8,,46.22,1.42,6.8,,,,,,
70.22,1.41,6.5,,46.23,1.41,6.5,,,,,,
70.23,1.39,6.6,,46.24,1.39,6.6,,,,,,
70.24,1.38,6.8,,46.25,1.38,6.8,,,,,,
70.26,1.37,6.6,,46.27,1.37,6.6,,,,,,
70.27,1.36,6.6,,46.28,1.36,6.6,,,,,,
70.28,1.34,6.5,,46.29,1.34,6.5,,,,,,
70.29,1.33,6.4,,46.3,1.33,6.4,,,,,,
70.3,1.31,6.3,,46.31,1.31,6.3,,,,,,
70.32,1.3,6.2,,46.33,1.3,6.2,,,,,,
70.33,1.29,6.3,,46.34,1.29,6.3,,,,,,
70.34,1.27,6.4,,46.35,1.27,6.4,,,,,,
70.35,1.26,6.3,,46.36,1.26,6.3,,,,,,
70.37,1.25,6.3,,46.38,1.25,6.3,,,,,,
70.38,1.24,6.3,,46.39,1.24,6.3,,,,,,
70.39,1.23,6.1,,46.4,1.23,6.1,,,,,,
70.4,1.22,6,,46.41,1.22,6,,,,,,
70.42,1.2,6.3,,46.43,1.2,6.3,,,,,,
70.43,1.18,6.3,,46.44,1.18,6.3,,,,,,
70.44,1.17,6,,46.45,1.17,6,,,,,,
70.45,1.16,5.8,,46.46,1.16,5.8,,,,,,
70.47,1.15,5.7,,46.48,1.15,5.7,,,,,,
70.48,1.13,5.6,,46.49,1.13,5.6,,,,,,
70.49,1.12,5.8,,46.5,1.12,5.8,,,,,,
70.5,1.11,5.7,,46.51,1.11,5.7,,,,,,
70.52,1.1,5.6,,46.53,1.1,5.6,,,,,,
70.53,1.09,5.6,,46.54,1.09,5.6,,,,,,
70.54,1.08,5.6,,46.55,1.08,5.6,,,,,,
70.55,1.07,5.7,,46.56,1.07,5.7,,,,,,
70.56,1.05,5.6,,46.57,1.05,5.6,,,,,,
70.58,1.03,5.3,,46.59,1.03,5.3,,,,,,
70.59,1.02,5.1,,46.6,1.02,5.1,,,,,,
70.6,1.01,5.1,,46.61,1.01,5.1,,,,,,
70.61,1,5.2,,46.62,1,5.2,,,,,,
70.63,0.98,5.2,,46.64,0.98,5.2,,,,,,
70.64,0.97,5.1,,46.65,0.97,5.1,,,,,,
70.65,0.95,5.1,,46.66,0.95,5.1,,,,,,
70.66,0.95,5.1,,46.67,0.95,5.1,,,,,,
70.68,0.93,4.8,,46.69,0.93,4.8,,,,,,
70.69,0.91,4.6,,46.7,0.91,4.6,,,,,,
70.7,0.9,4.5,,46.71,0.9,4.5,,,,,,
70.71,0.89,4.7,,46.72,0.89,4.7,,,,,,
70.73,0.88,4.8,,46.74,0.88,4.8,,,,,,
70.74,0.86,4.5,,46.75,0.86,4.5,,,,,,
70.75,0.85,4.6,,46.76,0.85,4.6,,,,,,
70.76,0.83,4.6,,46.77,0.83,4.6,,,,,,
70.77,0.81,4.4,,46.78,0.81,4.4,,,,,,
70.79,0.81,4.5,,46.8,0.81,4.5,,,,,,
70.8,0.8,4.4,,46.81,0.8,4.4,,,,,,
70.81,0.78,4.3,,46.82,0.78,4.3,,,,,,
70.82,0.77,4.3,,46.83,0.77,4.3,,,,,,
70.84,0.75,4.3,,46.85,0.75,4.3,,,,,,
70.85,0.74,4.2,,46.86,0.74,4.2,,,,,,
70.86,0.73,4,,46.87,0.73,4,,,,,,
70.87,0.71,4,,46.88,0.71,4,,,,,,
70.89,0.7,4.2,,46.9,0.7,4.2,,,,,,
70.9,0.69,4.1,,46.91,0.69,4.1,,,,,,
70.91,0.68,4.1,,46.92,0.68,4.1,,,,,,
70.92,0.66,3.9,,46.93,0.66,3.9,,,,,,
70.94,0.65,3.7,,46.95,0.65,3.7,,,,,,
70.95,0.63,3.9,,46.96,0.63,3.9,,,,,,
70.96,0.63,3.9,,46.97,0.63,3.9,,,,,,
70.97,0.61,3.7,,46.98,0.61,3.7,,,,,,
70.99,0.6,3.9,,47,0.6,3.9,,,,,,
71,0.58,3.7,,47.01,0.58,3.7,,,,,,
71.01,0.57,3.4,,47.02,0.57,3.4,,,,,,
71.02,0.56,3.6,,47.03,0.56,3.6,,,,,,
71.03,0.55,3.3,,47.04,0.55,3.3,,,,,,
71.05,0.53,3.2,,47.06,0.53,3.2,,,,,,
71.06,0.52,3.2,,47.07,0.52,3.2,,,,,,
71.07,0.5,3.1,,47.08,0.5,3.1,,,,,,
71.08,0.49,3.1,,47.09,0.49,3.1,,,,,,
71.1,0.49,3.5,,47.11,0.49,3.5,,,,,,
71.11,0.47,3.2,,47.12,0.47,3.2,,,,,,
71.12,0.45,2.7,,47.13,0.45,2.7,,,,,,
71.13,0.45,2.6,,47.14,0.45,2.6,,,,,,
71.15,0.43,2.5,,47.16,0.43,2.5,,,,,,
71.16,0.42,2.4,,47.17,0.42,2.4,,,,,,
71.17,0.4,2.5,,47.18,0.4,2.5,,,,,,
71.18,0.4,2.6,,47.19,0.4,2.6,,,,,,
71.2,0.38,2.5,,47.21,0.38,2.5,,,,,,
71.21,0.37,2.2,,47.22,0.37,2.2,,,,,,
71.22,0.36,2.2,,47.23,0.36,2.2,,,,,,
71.23,0.34,2.2,,47.24,0.34,2.2,,,,,,
71.24,0.34,2.2,,47.25,0.34,2.2,,,,,,
71.26,0.32,2.3,,47.27,0.32,2.3,,,,,,
71.27,0.3,2.2,,47.28,0.3,2.2,,,,,,
71.28,0.29,2,,47.29,0.29,2,,,,,,
71.29,0.28,2,,47.3,0.28,2,,,,,,
71.31,0.26,1.8,,47.32,0.26,1.8,,,,,,
71.32,0.25,1.7,,47.33,0.25,1.7,,,,,,
71.33,0.24,1.6,,47.34,0.24,1.6,,,,,,
71.34,0.22,1.9,,47.35,0.22,1.9,,,,,,
71.36,0.22,1.9,,47.37,0.22,1.9,,,,,,
71.37,0.2,1.7,,47.38,0.2,1.7,,,,,,
71.38,0.19,1.6,,47.39,0.19,1.6,,,,,,
71.39,0.17,1.7,,47.4,0.17,1.7,,,,,,
71.41,0.17,1.8,,47.42,0.17,1.8,,,,,,
71.42,0.15,1.5,,47.43,0.15,1.5,,,,,,
71.43,0.13,1.2,,47.44,0.13,1.2,,,,,,
71.44,0.12,1.2,,47.45,0.12,1.2,,,,,,
71.45,0.11,1.4,,47.46,0.11,1.4,,,,,,
71.47,0.1,1.2,,47.48,0.1,1.2,,,,,,
71.48,0.09,1,,47.49,0.09,1,,,,,,
71.49,0.08,1.1,,47.5,0.08,1.1,,,,,,
71.5,0.06,1.2,,47.51,0.06,1.2,,,,,,
71.52,0.05,1.1,,47.53,0.05,1.1,,,,,,
71.53,0.03,1,,47.54,0.03,1,,,,,,
71.54,0.02,0.8,,47.55,0.02,0.8,,,,,,
71.55,0.01,0.5,,47.56,0.01,0.5,,,,,,
71.57,0,0.4,,47.58,0,0.4,,,,,,
71.58,0,0.6,,47.59,0,0.6,,,,,,
71.59,0,0.9,,47.6,0,0.9,,,,,,
71.6,0,1.2,,47.61,0,1.2,,,,,,
71.62,0,1,,47.63,0,1,,,,,,
71.63,0,1,,47.64,0,1,,,,,,
71.64,0,1.1,,47.65,0,1.1,,,,,,
71.65,0,1.3,,47.66,0,1.3,,,,,,
71.67,0,1.3,,47.68,0,1.3,,,,,,
71.68,0,1.2,,47.69,0,1.2,,,,,,
71.69,0,1.4,,47.7,0,1.4,,,,,,
71.7,0,1.5,,47.71,0,1.5,,,,,,
71.71,0,1.5,,47.72,0,1.5,,,,,,
71.73,0,1.4,,47.74,0,1.4,,,,,,
71.74,0,1.5,,47.75,0,1.5,,,,,,
71.75,0,1.7,,47.76,0,1.7,,,,,,
71.76,0,1.8,,47.77,0,1.8,,,,,,
71.78,0,1.6,,47.79,0,1.6,,,,,,
71.79,0,1.5,,47.8,0,1.5,,,,,,
71.8,0,1.6,,47.81,0,1.6,,,,,,
71.81,0,1.8,,47.82,0,1.8,,,,,,
71.82,0,2,,47.83,0,2,,,,,,
71.84,0,1.8,,47.85,0,1.8,,,,,,
71.85,0,1.7,,47.86,0,1.7,,,,,,
71.86,0,1.8,,47.87,0,1.8,,,,,,
71.87,0,1.8,,47.88,0,1.8,,,,,,
71.89,0,2,,47.9,0,2,,,,,,
71.9,0,2.3,,47.91,0,2.3,,,,,,
71.91,0,2.1,,47.92,0,2.1,,,,,,
71.92,0,1.8,,47.93,0,1.8,,,,,,
71.94,0,1.9,,47.95,0,1.9,,,,,,
71.95,0,2.3,,47.96,0,2.3,,,,,,
71.96,0,2.2,,47.97,0,2.2,,,,,,
71.97,0,2.1,,47.98,0,2.1,,,,,,
71.99,0,2,,48,0,2,,,,,,
72,0,1.9,,48.01,0,1.9,,,,,,
72.02,0,1.9,,48.03,0,1.9,,,,,,
72.02,0,1.9,,48.03,0,1.9,,,,,,
72.03,0,2,,48.04,0,2,,,,,,
72.05,0.02,2.2,,48.06,0.02,2.2,,,,,,
72.06,0.03,2.6,,48.07,0.03,2.6,,,,,,
72.07,0.04,2.9,,48.08,0.04,2.9,,,,,,
72.09,0.05,3,,48.1,0.05,3,,,,,,
72.1,0.08,3.2,,48.11,0.08,3.2,,,,,,
72.11,0.08,3.3,,48.12,0.08,3.3,,,,,,
72.12,0.1,3.7,,48.13,0.1,3.7,,,,,,
72.13,0.11,3.7,,48.14,0.11,3.7,,,,,,
72.15,0.12,3.9,,48.16,0.12,3.9,,,,,,
72.16,0.13,4.1,,48.17,0.13,4.1,,,,,,
72.17,0.14,4.2,,48.18,0.14,4.2,,,,,,
72.18,0.16,4.1,,48.19,0.16,4.1,,,,,,
72.2,0.17,4.1,,48.21,0.17,4.1,,,,,,
72.21,0.19,4.2,,48.22,0.19,4.2,,,,,,
72.22,0.2,4.5,,48.23,0.2,4.5,,,,,,
72.23,0.21,5,,48.24,0.21,5,,,,,,
72.25,0.22,5.1,,48.26,0.22,5.1,,,,,,
72.26,0.23,5.2,,48.27,0.23,5.2,,,,,,
72.27,0.25,5.4,,48.28,0.25,5.4,,,,,,
72.28,0.26,5.4,,48.29,0.26,5.4,,,,,,
72.29,0.27,5.5,,48.3,0.27,5.5,,,,,,
72.31,0.28,5.8,,48.32,0.28,5.8,,,,,,
72.32,0.3,6,,48.33,0.3,6,,,,,,
72.33,0.31,6,,48.34,0.31,6,,,,,,
72.34,0.32,6.1,,48.35,0.32,6.1,,,,,,
72.36,0.34,6.1,,48.37,0.34,6.1,,,,,,
72.37,0.35,6.2,,48.38,0.35,6.2,,,,,,
72.38,0.36,6.3,,48.39,0.36,6.3,,,,,,
72.39,0.37,6.5,,48.4,0.37,6.5,,,,,,
72.41,0.39,6.4,,48.42,0.39,6.4,,,,,,
72.42,0.4,6.4,,48.43,0.4,6.4,,,,,,
72.43,0.41,6.7,,48.44,0.41,6.7,,,,,,
72.44,0.43,6.9,,48.45,0.43,6.9,,,,,,
72.46,0.44,7.2,,48.47,0.44,7.2,,,,,,
72.47,0.45,7.2,,48.48,0.45,7.2,,,,,,
72.48,0.46,7.2,,48.49,0.46,7.2,,,,,,
72.49,0.47,7.3,,48.5,0.47,7.3,,,,,,
72.5,0.49,7.4,,48.51,0.49,7.4,,,,,,
72.52,0.5,7.4,,48.53,0.5,7.4,,,,,,
72.53,0.51,7.8,,48.54,0.51,7.8,,,,,,
72.54,0.52,7.9,,48.55,0.52,7.9,,,,,,
72.55,0.54,8,,48.56,0.54,8,,,,,,
72.57,0.55,7.7,,48.58,0.55,7.7,,,,,,
72.58,0.56,7.9,,48.59,0.56,7.9,,,,,,
72.59,0.57,8.1,,48.6,0.57,8.1,,,,,,
72.6,0.59,8,,48.61,0.59,8,,,,,,
72.62,0.6,8.1,,48.63,0.6,8.1,,,,,,
72.63,0.61,8.4,,48.64,0.61,8.4,,,,,,
72.64,0.63,8.3,,48.65,0.63,8.3,,,,,,
72.65,0.64,8.5,,48.66,0.64,8.5,,,,,,
72.67,0.65,9,,48.68,0.65,9,,,,,,
72.68,0.67,8.9,,48.69,0.67,8.9,,,,,,
72.69,0.68,8.9,,48.7,0.68,8.9,,,,,,
72.7,0.69,9.1,,48.71,0.69,9.1,,,,,,
72.71,0.7,9.2,,48.72,0.7,9.2,,,,,,
72.73,0.71,9.3,,48.74,0.71,9.3,,,,,,
72.74,0.73,9.2,,48.75,0.73,9.2,,,,,,
72.75,0.75,9.3,,48.76,0.75,9.3,,,,,,
72.76,0.75,9.3,,48.77,0.75,9.3,,,,,,
72.78,0.77,9.6,,48.79,0.77,9.6,,,,,,
72.79,0.79,9.8,,48.8,0.79,9.8,,,,,,
72.8,0.8,10,,48.81,0.8,10,,,,,,
72.81,0.81,9.8,,48.82,0.81,9.8,,,,,,
72.83,0.83,9.6,,48.84,0.83,9.6,,,,,,
72.84,0.83,9.8,,48.85,0.83,9.8,,,,,,
72.85,0.85,10.2,,48.86,0.85,10.2,,,,,,
72.86,0.86,10.4,,48.87,0.86,10.4,,,,,,
72.87,0.88,10.5,,48.88,0.88,10.5,,,,,,
72.89,0.89,10.5,,48.9,0.89,10.5,,,,,,
72.9,0.9,10.4,,48.91,0.9,10.4,,,,,,
72.91,0.92,10.4,,48.92,0.92,10.4,,,,,,
72.93,0.93,10.6,,48.94,0.93,10.6,,,,,,
72.94,0.95,10.7,,48.95,0.95,10.7,,,,,,
72.95,0.96,10.7,,48.96,0.96,10.7,,,,,,
72.96,0.97,10.9,,48.97,0.97,10.9,,,,,,
72.97,0.98,10.9,,48.98,0.98,10.9,,,,,,
72.99,1,10.8,,49,1,10.8,,,,,,
73,1.01,10.9,,49.01,1.01,10.9,,,,,,
73.01,1.02,11.2,,49.02,1.02,11.2,,,,,,
73.02,1.04,11.2,,49.03,1.04,11.2,,,,,,
73.04,1.05,11,,49.05,1.05,11,,,,,,
73.05,1.06,11.5,,49.06,1.06,11.5,,,,,,
73.06,1.08,11.5,,49.07,1.08,11.5,,,,,,
73.07,1.09,11.4,,49.08,1.09,11.4,,,,,,
73.09,1.1,11.7,,49.1,1.1,11.7,,,,,,
73.1,1.12,11.8,,49.11,1.12,11.8,,,,,,
73.11,1.12,11.8,,49.12,1.12,11.8,,,,,,
73.12,1.14,11.8,,49.13,1.14,11.8,,,,,,
73.14,1.15,11.8,,49.15,1.15,11.8,,,,,,
73.15,1.16,11.8,,49.16,1.16,11.8,,,,,,
73.16,1.17,12.1,,49.17,1.17,12.1,,,,,,
73.17,1.19,12.1,,49.18,1.19,12.1,,,,,,
73.18,1.2,12.3,,49.19,1.2,12.3,,,,,,
73.2,1.22,12.4,,49.21,1.22,12.4,,,,,,
73.21,1.23,12.5,,49.22,1.23,12.5,,,,,,
73.22,1.24,12.4,,49.23,1.24,12.4,,,,,,
73.23,1.25,12.3,,49.24,1.25,12.3,,,,,,
73.25,1.26,12.4,,49.26,1.26,12.4,,,,,,
73.26,1.28,12.6,,49.27,1.28,12.6,,,,,,
73.27,1.29,12.5,,49.28,1.29,12.5,,,,,,
73.28,1.3,12.8,,49.29,1.3,12.8,,,,,,
73.3,1.32,13,,49.31,1.32,13,,,,,,
73.31,1.33,13,,49.32,1.33,13,,,,,,
73.32,1.34,12.9,,49.33,1.34,12.9,,,,,,
73.33,1.36,12.9,,49.34,1.36,12.9,,,,,,
73.35,1.37,13.1,,49.36,1.37,13.1,,,,,,
73.36,1.38,13.2,,49.37,1.38,13.2,,,,,,
73.37,1.39,13.2,,49.38,1.39,13.2,,,,,,
73.38,1.4,13.5,,49.39,1.4,13.5,,,,,,
73.39,1.42,13.5,,49.4,1.42,13.5,,,,,,
73.41,1.43,13.5,,49.42,1.43,13.5,,,,,,
73.42,1.45,13.6,,49.43,1.45,13.6,,,,,,
73.43,1.46,13.5,,49.44,1.46,13.5,,,,,,
73.44,1.47,13.7,,49.45,1.47,13.7,,,,,,
73.46,1.49,13.9,,49.47,1.49,13.9,,,,,,
73.47,1.5,13.8,,49.48,1.5,13.8,,,,,,
73.48,1.51,13.8,,49.49,1.51,13.8,,,,,,
73.49,1.52,14,,49.5,1.52,14,,,,,,
73.51,1.53,13.9,,49.52,1.53,13.9,,,,,,
73.52,1.54,14.3,,49.53,1.54,14.3,,,,,,
73.53,1.56,14.4,,49.54,1.56,14.4,,,,,,
73.54,1.57,14.2,,49.55,1.57,14.2,,,,,,
73.55,1.59,14.2,,49.56,1.59,14.2,,,,,,
73.57,1.6,14.5,,49.58,1.6,14.5,,,,,,
73.58,1.61,14.5,,49.59,1.61,14.5,,,,,,
73.59,1.62,14.3,,49.6,1.62,14.3,,,,,,
73.6,1.63,14.6,,49.61,1.63,14.6,,,,,,
73.62,1.65,14.9,,49.63,1.65,14.9,,,,,,
73.63,1.66,14.9,,49.64,1.66,14.9,,,,,,
73.64,1.67,14.8,,49.65,1.67,14.8,,,,,,
73.65,1.68,15,,49.66,1.68,15,,,,,,
73.67,1.7,15,,49.68,1.7,15,,,,,,
73.68,1.71,15,,49.69,1.71,15,,,,,,
73.69,1.72,15,,49.7,1.72,15,,,,,,
73.7,1.73,15.1,,49.71,1.73,15.1,,,,,,
73.72,1.75,14.8,,49.73,1.75,14.8,,,,,,
73.73,1.75,14.8,,49.74,1.75,14.8,,,,,,
73.74,1.77,15.2,,49.75,1.77,15.2,,,,,,
73.75,1.78,15.3,,49.76,1.78,15.3,,,,,,
73.77,1.79,15.5,,49.78,1.79,15.5,,,,,,
73.78,1.81,15.8,,49.79,1.81,15.8,,,,,,
73.79,1.82,15.9,,49.8,1.82,15.9,,,,,,
73.8,1.84,15.7,,49.81,1.84,15.7,,,,,,
73.81,1.85,15.5,,49.82,1.85,15.5,,,,,,
73.83,1.86,15.7,,49.84,1.86,15.7,,,,,,
73.84,1.88,15.7,,49.85,1.88,15.7,,,,,,
73.85,1.88,15.8,,49.86,1.88,15.8,,,,,,
73.86,1.9,15.8,,49.87,1.9,15.8,,,,,,
73.88,1.91,15.7,,49.89,1.91,15.7,,,,,,
73.89,1.92,16.1,,49.9,1.92,16.1,,,,,,
73.9,1.94,16.1,,49.91,1.94,16.1,,,,,,
73.91,1.96,15.9,,49.92,1.96,15.9,,,,,,
73.93,1.97,15.9,,49.94,1.97,15.9,,,,,,
73.94,1.98,15.9,,49.95,1.98,15.9,,,,,,
73.95,2,16.2,,49.96,2,16.2,,,,,,
73.96,2,16.3,,49.97,2,16.3,,,,,,
73.98,2.02,16.5,,49.99,2.02,16.5,,,,,,
73.99,2.03,16.8,,50,2.03,16.8,,,,,,
74,2.04,16.9,,50.01,2.04,16.9,,,,,,
74.01,2.05,16.5,,50.02,2.05,16.5,,,,,,
74.02,2.07,16.4,,50.03,2.07,16.4,,,,,,
74.04,2.08,16.4,,50.05,2.08,16.4,,,,,,
74.05,2.09,16.6,,50.06,2.09,16.6,,,,,,
74.06,2.11,16.8,,50.07,2.11,16.8,,,,,,
74.07,2.12,16.9,,50.08,2.12,16.9,,,,,,
74.09,2.13,17,,50.1,2.13,17,,,,,,
74.1,2.14,16.9,,50.11,2.14,16.9,,,,,,
74.11,2.16,17,,50.12,2.16,17,,,,,,
74.12,2.17,17.1,,50.13,2.17,17.1,,,,,,
74.14,2.18,17.3,,50.15,2.18,17.3,,,,,,
74.15,2.19,17.3,,50.16,2.19,17.3,,,,,,
74.16,2.2,17.1,,50.17,2.2,17.1,,,,,,
74.17,2.22,17.2,,50.18,2.22,17.2,,,,,,
74.19,2.23,17.4,,50.2,2.23,17.4,,,,,,
74.2,2.24,17.5,,50.21,2.24,17.5,,,,,,
74.21,2.26,17.5,,50.22,2.26,17.5,,,,,,
74.22,2.27,17.6,,50.23,2.27,17.6,,,,,,
74.23,2.28,17.7,,50.24,2.28,17.7,,,,,,
74.25,2.29,17.6,,50.26,2.29,17.6,,,,,,
74.26,2.31,17.7,,50.27,2.31,17.7,,,,,,
74.27,2.32,17.8,,50.28,2.32,17.8,,,,,,
74.28,2.33,18,,50.29,2.33,18,,,,,,
74.3,2.35,18.1,,50.31,2.35,18.1,,,,,,
74.31,2.36,18,,50.32,2.36,18,,,,,,
74.32,2.37,17.7,,50.33,2.37,17.7,,,,,,
74.33,2.39,17.8,,50.34,2.39,17.8,,,,,,
74.35,2.39,18,,50.36,2.39,18,,,,,,
74.36,2.41,18.1,,50.37,2.41,18.1,,,,,,
74.37,2.42,18.1,,50.38,2.42,18.1,,,,,,
74.38,2.44,18.2,,50.39,2.44,18.2,,,,,,
74.39,2.45,18.2,,50.4,2.45,18.2,,,,,,
74.41,2.47,18.3,,50.42,2.47,18.3,,,,,,
74.42,2.48,18.4,,50.43,2.48,18.4,,,,,,
74.43,2.49,18.6,,50.44,2.49,18.6,,,,,,
74.44,2.5,18.7,,50.45,2.5,18.7,,,,,,
74.46,2.52,18.4,,50.47,2.52,18.4,,,,,,
74.47,2.53,18.6,,50.48,2.53,18.6,,,,,,
74.48,2.54,18.9,,50.49,2.54,18.9,,,,,,
74.49,2.55,18.9,,50.5,2.55,18.9,,,,,,
74.51,2.56,18.9,,50.52,2.56,18.9,,,,,,
74.52,2.58,18.9,,50.53,2.58,18.9,,,,,,
74.53,2.59,18.8,,50.54,2.59,18.8,,,,,,
74.54,2.6,19.1,,50.55,2.6,19.1,,,,,,
74.55,2.62,19.2,,50.56,2.62,19.2,,,,,,
74.57,2.63,19.4,,50.58,2.63,19.4,,,,,,
74.58,2.64,19.3,,50.59,2.64,19.3,,,,,,
74.59,2.65,19.2,,50.6,2.65,19.2,,,,,,
74.61,2.67,19.2,,50.62,2.67,19.2,,,,,,
74.62,2.68,19.4,,50.63,2.68,19.4,,,,,,
74.63,2.69,19.5,,50.64,2.69,19.5,,,,,,
74.64,2.7,19.6,,50.65,2.7,19.6,,,,,,
74.66,2.71,19.7,,50.67,2.71,19.7,,,,,,
74.67,2.73,19.6,,50.68,2.73,19.6,,,,,,
74.68,2.74,19.5,,50.69,2.74,19.5,,,,,,
74.69,2.75,19.7,,50.7,2.75,19.7,,,,,,
74.7,2.77,19.7,,50.71,2.77,19.7,,,,,,
74.72,2.78,19.8,,50.73,2.78,19.8,,,,,,
74.73,2.79,19.8,,50.74,2.79,19.8,,,,,,
74.74,2.8,19.9,,50.75,2.8,19.9,,,,,,
74.75,2.82,20.2,,50.76,2.82,20.2,,,,,,
74.77,2.83,20.1,,50.78,2.83,20.1,,,,,,
74.78,2.84,20,,50.79,2.84,20,,,,,,
74.79,2.86,19.9,,50.8,2.86,19.9,,,,,,
74.8,2.87,19.7,,50.81,2.87,19.7,,,,,,
74.82,2.88,19.9,,50.83,2.88,19.9,,,,,,
74.83,2.9,20.3,,50.84,2.9,20.3,,,,,,
74.84,2.91,20.2,,50.85,2.91,20.2,,,,,,
74.85,2.92,20.1,,50.86,2.92,20.1,,,,,,
74.87,2.94,20.2,,50.88,2.94,20.2,,,,,,
74.88,2.96,20.2,,50.89,2.96,20.2,,,,,,
74.89,2.96,20.6,,50.9,2.96,20.6,,,,,,
74.9,2.98,20.4,,50.91,2.98,20.4,,,,,,
74.91,3,20.4,,50.92,3,20.4,,,,,,
74.93,3,20.6,,50.94,3,20.6,,,,,,
74.94,3.02,20.8,,50.95,3.02,20.8,,,,,,
74.95,3.04,20.6,,50.96,3.04,20.6,,,,,,
74.96,3.04,20.6,,50.97,3.04,20.6,,,,,,
74.98,3.05,20.8,,50.99,3.05,20.8,,,,,,
74.99,3.07,20.7,,51,3.07,20.7,,,,,,
75,3.08,20.8,,51.01,3.08,20.8,,,,,,
75.01,3.09,21,,51.02,3.09,21,,,,,,
75.03,3.11,21,,51.04,3.11,21,,,,,,
75.04,3.12,21,,51.05,3.12,21,,,,,,
75.05,3.13,21.1,,51.06,3.13,21.1,,,,,,
75.06,3.14,21.2,,51.07,3.14,21.2,,,,,,
75.08,3.16,21.6,,51.09,3.16,21.6,,,,,,
75.09,3.17,21.3,,51.1,3.17,21.3,,,,,,
75.1,3.18,21.3,,51.11,3.18,21.3,,,,,,
75.11,3.19,21.4,,51.12,3.19,21.4,,,,,,
75.12,3.2,21.5,,51.13,3.2,21.5,,,,,,
75.14,3.22,21.5,,51.15,3.22,21.5,,,,,,
75.15,3.23,21.6,,51.16,3.23,21.6,,,,,,
75.16,3.24,21.5,,51.17,3.24,21.5,,,,,,
75.17,3.26,21.4,,51.18,3.26,21.4,,,,,,
75.19,3.27,21.5,,51.2,3.27,21.5,,,,,,
75.2,3.28,21.5,,51.21,3.28,21.5,,,,,,
75.21,3.29,21.5,,51.22,3.29,21.5,,,,,,
75.22,3.31,21.9,,51.23,3.31,21.9,,,,,,
75.24,3.32,21.9,,51.25,3.32,21.9,,,,,,
75.25,3.33,21.8,,51.26,3.33,21.8,,,,,,
75.26,3.35,21.7,,51.27,3.35,21.7,,,,,,
75.27,3.36,21.9,,51.28,3.36,21.9,,,,,,
75.28,3.37,21.8,,51.29,3.37,21.8,,,,,,
75.3,3.38,22.1,,51.31,3.38,22.1,,,,,,
75.31,3.39,22.3,,51.32,3.39,22.3,,,,,,
75.32,3.41,22.2,,51.33,3.41,22.2,,,,,,
75.34,3.42,22.1,,51.35,3.42,22.1,,,,,,
75.35,3.43,22.3,,51.36,3.43,22.3,,,,,,
75.36,3.45,22.4,,51.37,3.45,22.4,,,,,,
75.37,3.47,22.3,,51.38,3.47,22.3,,,,,,
75.38,3.47,22.3,,51.39,3.47,22.3,,,,,,
75.4,3.49,22.7,,51.41,3.49,22.7,,,,,,
75.41,3.5,22.6,,51.42,3.5,22.6,,,,,,
75.42,3.52,22.5,,51.43,3.52,22.5,,,,,,
75.43,3.52,22.7,,51.44,3.52,22.7,,,,,,
75.45,3.54,22.8,,51.46,3.54,22.8,,,,,,
75.46,3.55,22.9,,51.47,3.55,22.9,,,,,,
75.47,3.56,22.8,,51.48,3.56,22.8,,,,,,
75.48,3.58,22.9,,51.49,3.58,22.9,,,,,,
75.5,3.59,22.8,,51.51,3.59,22.8,,,,,,
75.51,3.6,22.7,,51.52,3.6,22.7,,,,,,
75.52,3.62,22.9,,51.53,3.62,22.9,,,,,,
75.53,3.63,23.1,,51.54,3.63,23.1,,,,,,
75.55,3.64,23,,51.56,3.64,23,,,,,,
75.56,3.65,22.8,,51.57,3.65,22.8,,,,,,
75.57,3.67,23,,51.58,3.67,23,,,,,,
75.58,3.68,23.3,,51.59,3.68,23.3,,,,,,
75.59,3.69,23.3,,51.6,3.69,23.3,,,,,,
75.61,3.71,23.4,,51.62,3.71,23.4,,,,,,
75.62,3.71,23.6,,51.63,3.71,23.6,,,,,,
75.63,3.73,23.5,,51.64,3.73,23.5,,,,,,
75.64,3.74,23.5,,51.65,3.74,23.5,,,,,,
75.66,3.75,23.6,,51.67,3.75,23.6,,,,,,
75.67,3.77,23.5,,51.68,3.77,23.5,,,,,,
