Pre,Displacement,Tension,Resistance,Stutus,,0--12,4--12,8--12,,,,
3.11,11.26,49.2,,,,,,11.14,,19.14,7.26,19.9
3.12,11.27,49.1,,,,,,11.15,,19.15,7.28,20.2
3.14,11.28,49.3,,,,,,11.17,,19.17,7.28,20.1
3.15,11.3,49.2,,,,,,11.18,,19.18,7.3,20.3
3.16,11.31,49.1,,,,,,11.19,,19.19,7.32,20.4
3.17,11.32,49.2,,,,,,11.2,,19.2,7.32,20.2
3.18,11.34,49.4,,,,,,11.21,,19.22,7.34,20.3
3.2,11.35,49.8,,,,,,11.23,,19.23,7.36,20.3
3.21,11.36,49.9,,,,,,11.24,,19.24,7.36,20.1
3.22,11.38,50.1,,,,,,11.25,,19.25,7.38,20.3
3.24,11.39,50,,,,,,11.27,,19.27,7.39,20.8
3.25,11.4,50,,,,,,11.28,,19.28,7.41,20.8
3.26,11.42,50,,,,,,11.29,,19.29,7.42,20.7
3.27,11.43,50,,,,,,11.3,,19.3,7.43,20.6
3.28,11.44,50,,,,,,11.31,,19.32,7.44,20.4
